Classification,,Case Number,Date Reported,Date Occurred,Time Occurred,General Location,Campus?,Disposition
2020,,,,,,,,
"",,,,,,,,
Warrant Service Arrest,FC2020-00724,2/9/2020,2/9/2020,14:12,Annapolis Hall,No,Arrest
Drug Law Violation,FC2020-00716,2/9/2020,2/9/2020,3:20,Edgewood Lot,No,Closed
Drug Law Violation,FC2020-00710,2/8/2020,2/8/2020,20:10,Frederick Hall,No,Closed
Robbery,FC2020-00685,2/7/2020,2/7/2020,20:20,Annapolis Hall,No,Open
Liquor Law Violation,FC2020-00686,2/7/2020,2/7/2020,22:31,College Avenue (East),Yes,Closed
Drug Law Violation,FC2020-00603,2/4/2020,2/4/2020,21:00,Diehl Hall,No,Closed
Drug Law Violation,FC2020-00577,2/3/2020,2/3/2020,19:10,Diehl Hall,No,Closed
Harrassment,FC2020-00566,2/3/2020,2/3/2020,13:08,University Police,No,Closed
Drug Law Violation,FC2020-00506,1/31/2020,1/31/2020,16:53,Annapolis Hall,No,Arrest
Drug Law Violation,FC2020-00464,1/29/2020,1/29/2020,22:15,Diehl Hall,No,Closed
Drug Law Violation,FC2020-00459,1/29/2020,1/29/2020,19:08,Diehl Hall,No,Closed
Classification,Case Number,Date Reported,Date Occurred,Time Occurred,General Location,Campus?,Disposition
Liquor Law Violation,FC2020-00436,1/29/2020,1/29/2020,5:00,Gray Hall,No,Closed
Theft -Misdemeanor,FC2020-00376,1/26/2020,1/26/2020,20:00,Annapolis Hall,No,Closed
Drug Law Violation,FC2020-00361,1/26/2020,1/26/2020,12:52,Frost Hall,No,Closed
Drug Law Violation,FC2020-00362,1/26/2020,1/26/2020,13:28,Edgewood Commons,No,Closed
Emergency Petition,FC2020-00332,1/25/2020,1/25/2020,1:22,Westminster Hall,No,Closed
