"Nature(Classification)","CaseNumber","DateReported","DateOccurred",Time,General Location,"OffCampus(Y or N)",Disposition
Liquor Law Violation,2100739,09/19/2021,09/19/2021,0236,Shenkman Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100742,09/19/2021,09/19/2021,Unknown,University Student Center,N,Open case.
"Sexual Assault, Fondling",NA-25-2021,09/20/2021,09/11/2021,Unknown,Mitchell Hall,N,Closed. No further action.
Sexual Assault,NA-26-2021,09/20/2021,09/04/2021,Unknown,Francis Scott Key Hall,N,Closed. No further action.
Theft II/From Building,2100746,09/20/2021,09/20/2021,1415,"Mitchell Hall(7-Eleven Store)",N,Open case.
Theft II/From Building,2100751,09/20/2021,09/20/2021,1944,"Mitchell Hall(7-Eleven Store)",N,Open case.
Theft II/From Building,2100753,09/21/2021,09/16/2021,1000-1700,Duques Hall,N,Open case.
Theft II/From Building,2100756,09/21/2021,09/21/2021,1425,University Student Center,N,Open case.
"Theft II/From Building,Unlawful Entry",2100760,09/21/2021,09/21/2021,1819,"Mitchell Hall(7-Eleven Store)",N,Open case.
Unlawful Entry,2100761,09/21/2021,09/21/2021,2104,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject arrested.
"Theft II/From MotorVehicle",2100764,09/22/2021,09/22/2021,0630-1530,"2028 G Street/LLC(Garage)",N,Open case.
Armed Carjacking,2100766,09/22/2021,09/22/2021,2143,Off Campus,Y,Closed. Referred to MPD.
Unlawful Entry,2100767,09/22/2021,09/22/2021,2348,"Science and Engineering Hall(Garage)",N,Closed. Subject barred.
Stalking,2100768,09/23/2021,09/13/2021,Various,Various,N,Open case.
"Credit Card Fraud, TheftII/From Building",2100770,09/23/221,09/23/2021,2248,Milken School of Public Health,N,Open case.
Theft II/Bicycles,2100774,09/23/221,09/23/2021,1000-1330,University Yard,N,Open case.
Unlawful Entry,2100777,09/23/221,09/23/2021,2323,Amsterdam Hall,N,Closed. Subject barred.
Liquor Law Violation,2100778,09/24/2021,09/24/2021,0013,"Public Property on Campus(2200 Block of H Street N.W)",N,Closed. Referred to DSA.
Theft II/From Building,2100779,09/24/2021,09/24/2021,0154,Amsterdam Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100780,09/24/2021,09/24/2021,0013,JBKO,N,Closed. Referred to DSA.
Liquor Law Violation,2100781,09/24/2021,09/24/2021,0233,"Public Property on Campus(2000 Block of F Street N.W )",N,Closed. Referred to DSA.
"Simple Assault, Threats todo Bodily Harm",2100786,09/24/2021,09/24/2021,1710,"Public Property on Campus(800 Block of 22nd Street N.W)",N,Open case.
Stalking,2100787,09/24/2021,Multiple,Multiple,Fulbright Hall,N,Open case.
Liquor Law Violation,2100789,09/26/2021,09/26/2021,0023,1959 E Street/Residential,N,Closed. Referred to DSA.
Disorderly Conduct,2100803,09/28/2021,09/28/2021,2321,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject barred.
"Simple Assault(Dating Violence)",NA-27-2021,09/29/2021,02/21/2021,1400,South Hall,N,Closed. No further action.
Theft II/From Building,2100806,09/29/2021,Unknown,Unknown,Elliot School of International Affairs,N,Open case.
"Theft II/From Building,Credit Card Fraud",2100809,09/29/2021,09/29/2021,1740,Burns Law Library,N,Open case.
"Simple Assault, ResistingArrest, Assault on a PoliceOfficer",2100811,09/29/2021,09/29/2021,2040,University Mall,N,Closed. Subject arrested.
Theft II/From Building,2100812,09/29/2021,09/29/2021,2304,"Mitchell Hall(7-Eleven Store)",N,Open case.
